"","3_Functional_Unit_Co","5_11_Name_of_organis","Description_of_","Class1"
"1436",11810002,"Judges Scientific PLC","Acquisition and development of scientific instrument businesses","Acquisition and development of scientific instrument businesses"
"1437",11810001,"Ptolemy Dean Architects","Architecture","Architecture practice"
"1438",1177,"TFL","derelict","derelict"
"1439",1155,"Gabriel Storage Solutions","Storage site with containers","Storage site with containers"
"1440",1168,"Paul Smith","Fashion brand retailer","Fashion brand retailer"
"1441",800002,"Lux Brothers Carwash","Carwash","Car wash"
"1442",800001,"MB Autocheck","Car mechanics, MOT check","Vehicle repair"
"1443",2098,NA,"Industrial storage","Industrial storage"
"1444",2119,"Pumphouse 16","Nursery and family club","Nursery and family club"
"1445",2086,"Printworks","Event space","Event space"
"1446",2052,NA,"Gasholder","Gasholder"
"1447",2089,NA,"Residential","residential"
"1448",2095,NA,"Residential","residential"
"1449",9780002,"Elephant Studios","Photographic studio","Photographic studio"
"1450",11540002,"Gisela Graham","Decoration manufacturers","Decoration manufacturers"
"1451",6100001,"The Laundry Box","Dry Cleaners","Dry Cleaners"
"1452",1505,"Grouptree","Software Company","Software Company"
"1453",1503,"Vacant","Vacant","vacant"
"1454",13540002,NA,"unidentified","unidentifiable"
"1455",13540001,NA,"unidentified","unidentifiable"
"1456",1350,NA,"vacant","vacant"
"1457",1357,"Black Swan Studios","Event venue for rent","Event venue for rent"
"1458",1359,"Eximedia","Office stationary supply","Office stationary supply"
"1459",1349,"Fashion and Textile Museum","museum","museum"
"1460",1323,"Sellar Property Development","Property Developer","Property Developer"
"1461",1316,NA,"demolished","demolished"
"1462",13260005,"Temple Group London","Environmental Consultancy","Environmental Consultancy"
"1463",13330001,"Eames Fine Art Gallery","Art Gallery","Art Gallery"
"1464",1320,NA,"demolished","demolished"
"1465",13150001,NA,"residential","residential"
"1466",1313,NA,"residential","residential"
"1467",1312,"3D online","Print shop","Print shop"
"1468",1292,"The Horseshoe Inn","pub","pub"
"1469",1293,NA,"vacant","vacant"
"1470",1276,"Kristin Hjellegjerde","Art Gallery","Art Gallery"
"1471",1202,NA,"vacant","vacant"
"1472",12710004,"Dinwiddie Maclaren Architects","Architecture office","Architecture practice"
"1473",1196,NA,"vacant","vacant"
"1474",12710003,"Terrel LTD","Structural engineer","Structural engineer"
"1475",12710002,"Sustainable Acoustics LTD","Acoustic services","Acoustic services"
"1476",12710001,"Team London Bridge","Business networking company","Business networking company"
"1477",2300009,NA,"vacant","vacant"
"1478",15320003,"Campbell Aston","Detective agency","Detective agency"
"1479",15320001,"Differ Print","Printers","Printers"
"1480",1532,"Ranas Bakery","Bakery","Bakery"
"1481",15320002,"The coconut company","Food product distributer","Food product distributer"
"1482",1508,"Best Capital","Finance","Finance"
"1483",1447,"Security","Residential","residential"
"1484",1462,"Nind","Demolished","demolished"
"1485",1456,"Nind","Demolished","demolished"
"1486",1502,"BodyMap","Gym","Gym"
"1487",1304,NA,"vacant","vacant"
"1488",1285,NA,"vacant","vacant"
"1489",1277,"Daxbourne International LTD","vacant","vacant"
"1490",1283,NA,"vacant","vacant"
"1491",1336,"Collider","Marketing Agency","Marketing Agency"
"1492",1303,NA,"demolished","demolished"
"1493",1311,NA,"vacant","vacant"
"1494",107,"Neil’s Yard Dairy","Wholesale and export of cheese","Wholesale and export of cheese"
"1495",1690,"Residential","residential","residential"
"1496",1689,"Residential","residential","residential"
"1497",1687,"Residential","residential","residential"
"1498",1685,"Residential","residential","residential"
"1499",1683,NA,"residential","residential"
"1500",1799,NA,"Security cabin","Security cabin"
"1501",15300003,"Lavish locations","TV/Film location finding","TV/Film location finding"
"1502",15300001,"Gosnells","Brewery","Brewery"
"1503",17870277,"Urban Space","Management for co-work businesses","Management for co-work businesses"
"1504",1529,"ABS print finishers","Printers","Printers"
"1505",17870075,"Karakusevic Carson Architects","Architecture Practice","Architecture Practice"
"1506",18380001,"Shortwave Cafe","Coffee shop","Coffee shop"
"1507",1562,"Arcadia missa","Artists studios","Artist studio"
"1508",1566,"Yannis Motors","Vehicle testing station","Vehicle testing station"
"1509",1762,NA,"demolished","demolished"
"1510",1750,NA,"vacant","vacant"
"1511",1787,"Go karting","Indoor car racing recreational activity","Indoor car racing recreational activity"
"1512",840006,"South London clutch and gearbox centre","Vehicle services","Vehicle repair"
"1513",840004,"The Kiln Rooms","Pottery Studio","Pottery Studio"
"1514",9400003,"Dynamic vines","Wine distributor","Wine distributor"
"1515",103,NA,"unidentifiable","unidentifiable"
"1516",82,NA,"On Railway line","On Railway line"
"1517",840001,"Flock & Herd","Butchery","Butchery"
"1518",1677,NA,"Residential","residential"
"1519",1584,"Bellenden Signs Ltd","Signage manufacturers, designers and installers","Signage manufacturers, designers and installers"
"1520",9400004,"Dynamic Vines","Wines","Wines"
"1521",117,NA,"development","development"
"1522",119,NA,"unidentifiable","unidentifiable"
"1523",131,"St James of Bermondsey","Pub","Pub"
"1524",1161,NA,"residential","residential"
"1525",1163,NA,"demolished","demolished"
"1526",1164,NA,"demolished","demolished"
"1527",1156,NA,"demolished","demolished"
"1528",1146,NA,"demolished","demolished"
"1529",12220004,"Grover's of Borough Market","Fruit and vegetable wholesale","Fruit and vegetable wholesale"
"1530",12220003,"Ted's Veg Wholesale","Fruit and vegetable wholesale","Fruit and vegetable wholesale"
"1531",12220002,"The Ginger Pig","Butchers and butchery classes","Butchers and butchery classes"
"1532",1189,"The Rake Pub","Pub","Pub"
"1533",1183,"Borough Market","Bin store for Borough Market","Bin store for Borough Market"
"1534",1173,"Laithwaite's Wine","Specialist off-licence for wine and champagne","Specialist off-licence for wine and champagne"
"1535",12220001,"Bread Ahead Bakery","Bakery and baking school","Bakery and baking school"
"1536",1428,"Community Centre","Residential","residential"
"1537",1426,"Nind","Community Centre","Community Centre"
"1538",1404,"Nind","demolished","demolished"
"1539",1403,"Nind","demolished","demolished"
"1540",1402,"Nind","demolished","demolished"
"1541",1400,"Nind","demolished","demolished"
"1542",1399,"Nind","demolished","demolished"
"1543",1506,"Nind","Demolished","demolished"
"1544",1509,"KLH UK","Provider of cross-laminated timber","Provider of cross-laminated timber"
"1545",8450007,"RBA Acoustics Limited","Acoustics Consultancy","Acoustics Consultancy"
"1546",8450006,"Into Lighting Design","Lighting Design Specialists","Lighting Design Specialists"
"1547",8450005,"Duel","Marketing Platform","Marketing Platform"
"1548",8450004,"Sedilia LTD","Furniture Manufacture","Furniture Manufacture"
"1549",8450003,"Just Cleaning","Cleaning Services","Cleaning Services"
"1550",847,NA,"demolished","demolished"
"1551",8450002,"Axis Elevators Limited","Elevators","Elevators"
"1552",8450001,"The Cook and The Butler","Event and catering  company","Event and catering  company"
"1553",1150,NA,"demolished","demolished"
"1554",1145,NA,"demolished","demolished"
"1555",740,NA,"residential","residential"
"1556",661,NA,"residential","residential"
"1557",660,NA,"residential","residential"
"1558",662,NA,"demolished","demolished"
"1559",638,NA,"demolished","demolished"
"1560",627,"Archival Record Management PLC","demolished","demolished"
"1561",659,"Worldewide Beers","demolished","demolished"
"1562",675,"Worldewide Beers","demolished","demolished"
"1563",863,NA,"demolished","demolished"
"1564",1214,NA,"Electric substation","Electric substation"
"1565",996,"Three Aces CrossFit","Gym","Gym"
"1566",843,"TFL / Faraday Memorial","The building is the Faraday Memorial and an electric substation for Northern and Bakerloo Underground lines.","The building is the Faraday Memorial and an electric substation for Northern and Bakerloo Underground lines."
"1567",112,"Residential","residential","residential"
"1568",109,"Residential","residential","residential"
"1569",128,"Residential","residential","residential"
"1570",9400005,"Monmouth Coffee Company","Source and Roast Coffee","Source and Roast Coffee"
"1571",9400006,"Ice Cream Union","Ice cream makers","Ice cream makers"
"1572",9400002,"Natoora","Food packing and distribution","Food packing and distribution"
"1573",9400001,"Husk&Honey Granola","Bakery for granola","Bakery for granola"
"1574",1008,NA,"Development","development"
"1575",2300006,"Dimensions Displays","Graphic printing, photography, furniture","Graphic printing, photography, furniture"
"1576",2300007,"Vacant","vacant","vacant"
"1577",2300008,"A G C Ltd","Bespoke Carpentry, furniture restoration","Bespoke Carpentry, furniture restoration"
"1578",2300015,"Yoga - Arch","Yoga","Yoga"
"1579",2400001,"Autobahn Motors","Car repair and Maintenance","Vehicle repair"
"1580",1148,NA,"vacant","vacant"
"1581",938,"Sandapaints","Wood spray and carpentry","Wood spray and carpentry"
"1582",1151,NA,"residential","residential"
"1583",1136,NA,"vacant","vacant"
"1584",1142,"Burton Saw International","vacant","vacant"
"1585",1138,"King’s College Hospital","vacant","vacant"
"1586",1135,"Pub Paraphernalia","vacant","vacant"
"1587",1128,"AD design","vacant","vacant"
"1588",1118,"EM Facilities Ltd","vacant","vacant"
"1589",1119,"Antic Brewery","vacant","vacant"
"1590",1110,"Residential","residential","residential"
"1591",2600003,"Vacant","vacant","vacant"
"1592",966,"Vacant","vacant","vacant"
"1593",2600002,"vacant","vacant","vacant"
"1594",1141,"residential","residential","residential"
"1595",1139,"residential","residential","residential"
"1596",1133,NA,"residential","residential"
"1597",1143,"Rat Record","Sale of Vinyl","Sale of Vinyl"
"1598",2000006,NA,"Joinery workshop","Joinery workshop"
"1599",2000004,"Extra Media","Media company","Media company"
"1600",2000003,"Extra Media","Media company","Media company"
"1601",1129,"Stage Services","Metal fabrication","Metal fabrication"
"1602",1104,NA,"Residential","residential"
"1603",1109,NA,"Residential","residential"
"1604",1108,NA,"Residential","residential"
"1605",1251,NA,"Storage","Storage"
"1606",1244,"Southwark Street Trading Section","Council admin","Council admin"
"1607",1152,"Alex Luck Photography","Live-work. photography","Live-work. photography"
"1608",1144,"Karrot Animation","Live-work, animation","Live-work, animation"
"1609",1140,"Emperia Ltd","Studio/office","Studio/office"
"1610",1172,NA,"Industrial yard","Industrial yard"
"1611",11540001,"Rocketvan","Removal and delivery, storage","Removal and delivery, storage"
"1612",1170,NA,"Residential","residential"
"1613",1171,NA,"Residential","residential"
"1614",1053,NA,"Demolished","demolished"
"1615",1033,NA,"Demolished","demolished"
"1616",1031,NA,"Demolished","demolished"
"1617",1037,NA,"Residential","residential"
"1618",1024,NA,"Residential","residential"
"1619",1026,NA,"Residential","residential"
"1620",1045,"Southwark Council Parking","Parking admin","Parking admin"
"1621",1051,NA,"Residential","residential"
"1622",1070,NA,"Residential","residential"
"1623",1020,"Feltbrook Ltd","Vacant","vacant"
"1624",1015,"Gisela Graham LTD","Decoration manufacturers","Decoration manufacturers"
"1625",1012,NA,"Residential","residential"
"1626",2000010,"Royal Mail","Postal service and courier","Postal service and courier"
"1627",9780001,"Andy Knight Ltd/Metro Models","Set piece manufacture","Set piece manufacture"
"1628",974,"Big Metal","Jewellery manufacture","Jewellery manufacture"
"1629",958,"Disused","disused","disused"
"1630",950,"Vacant","vacant","vacant"
"1631",920,"Vacant","vacant","vacant"
"1632",913,"Vacant","vacant","vacant"
"1633",1094,"Demolished","demolished","demolished"
"1634",1079,"Demolished","demolished","demolished"
"1635",1077,"Demolished","demolished","demolished"
"1636",1063,NA,"demolished","demolished"
"1637",500001,"Millennium City Garages","Car repair","Vehicle repair"
"1638",8230005,"residential","residential","residential"
"1639",8230004,"GGFI","Insurance agency","Insurance agency"
"1640",8230003,"BFRC","Engery Performance Consultancy","Engery Performance Consultancy"
"1641",8230002,"Fensa","Home fittings regulators","Home fittings regulators"
"1642",823,"GGF Group","Glass and Glazing Federation","Glass and Glazing Federation"
"1643",834,NA,"vacant","vacant"
"1644",8290001,"Omprex UK","unidentifiable","unidentifiable"
"1645",793,NA,"residential","residential"
"1646",808,NA,"development","development"
"1647",1124,NA,"Restaurants","Restaurant"
"1648",816,NA,"development","development"
"1649",832,NA,"residential","residential"
"1650",831,NA,"vacant","vacant"
"1651",835,NA,"vacant","vacant"
"1652",1130,"Universal House","Offices / co-working desk spaces","Offices / co-working desk spaces"
"1653",1158,"The Royal College of Obstetricians","development","development"
"1654",1790,"Vauxford","Vehicle repairs","Vehicle repair"
"1655",1115,"Unknown","unknown function - possible substation?","unknown function - possible substation?"
"1656",137000015,"Logical Laundry","Commercial Laundry Service","Commercial Laundry Service"
"1657",1105,"Crossbones garden","Burial ground, garden of remembrance","Burial ground, garden of remembrance"
"1658",979,"Manor Place Surgery","Surgery","Surgery"
"1659",1370000160001,"Emily England Ltd","Set designer","Set designer"
"1660",971,NA,"Residential","residential"
"1661",2100004,"Car sales value centre","Vehicle repair","Vehicle repair"
"1662",2100003,"Carlos Autos Body Parts","Restoration of motor vehicles, furniture","Restoration of motor vehicles, furniture"
"1663",2100002,"MotoCare Centre","Motor repair","Motor repair"
"1664",1102,NA,"residential","residential"
"1665",2100001,"Fast Fit","Car repair","Vehicle repair"
"1666",1100,"The Boot and Flogger","Wine bar","Wine bar"
"1667",1029,"Turnkey Consulting Ltd","GRC / software security consultancy","GRC / software security consultancy"
"1668",1030,"Columns Design and Associates Ltd","Branding / communications agency","Branding / communications agency"
"1669",1071,"Travis Perkins","Builder's merchant","Builder's merchant"
"1670",12100008,"E Smith Metal Ltd","Metal Fabrictor","Metal Fabrictor"
"1671",1082,"St. Mary's Working Girls Club","Flats/studios/gallery","Flats/studios/gallery"
"1672",12100006,"Footprint Cenery","Set fabricators","Set fabricators"
"1673",1132,"Sokari Douglas Camp","Artist studio in live/work unit","Artist studio"
"1674",1040,"The coffee house","Cafe","Cafe"
"1675",1052,"RK Burts & Co","Wholesale paper importer","Wholesale paper importer"
"1676",944,NA,"Residential","residential"
"1677",957,NA,"Residential","residential"
"1678",1007,NA,"Residential","residential"
"1679",873,"Citizen M hotel","Hotel","Hotel"
"1680",943,NA,"Demolished","demolished"
"1681",934,NA,"Demolished","demolished"
"1682",1500001,"Shard Car Valeting","Car wash / valeting","Car wash"
"1683",929,"Residential","residential","residential"
"1684",917,NA,"Demolished","demolished"
"1685",915,NA,"Demolished","demolished"
"1686",908,NA,"Demolished","demolished"
"1687",901,NA,"Demolished","demolished"
"1688",1210000150002,"Cass","Sounds Recording","Sounds Recording"
"1689",1210000150001,"Michael Taylor Ltd","Bespoke Carpentry and Fabrication","Bespoke Carpentry and Fabrication"
"1690",1160,"TechnoBiz","Sale of mobile phone and laptop repair","Sale of mobile phone and laptop repair"
"1691",1123,"Mitie","Real estate, risk system, cleaning and management services","Real estate, risk system, cleaning and management services"
"1692",1165,"Scope","Clothing, book store","Clothing, book store"
"1693",1159,"Audi","development","development"
"1694",1256,"Lumberjack cafe","Coffee shop","Coffee shop"
"1695",1715,NA,"Residential","residential"
"1696",1708,NA,"Residential","residential"
"1697",1651,"Pit Stop Repairs","Vehicle Repairs","Vehicle repair"
"1698",1646,NA,"Residential","residential"
"1699",1568,"Dell Autos","Vehicle Repairs & Servicing","Vehicle repair"
"1700",1571,NA,"Residential","residential"
"1701",1552,"Sub station","Non industrial","Non industrial"
"1702",8800001,"Howdens","Joinery Supplier","Joinery Supplier"
"1703",961,"Rima design","Design and communication agency","Design and communication agency"
"1704",963,NA,"Office block","Offices"
"1705",1853,"Rye Craft Motors","Vehicle Repairs","Vehicle repair"
"1706",965,"E3G","Climate charge think tank","Climate charge think tank"
"1707",1736,"Suzanne James","Caterer and Managment","Caterer and Managment"
"1708",17170001,"Audio and Interpretation Services Ltd","International Conference setup","International Conference setup"
"1709",951,"The Goodlife Centre","Practical learning courses/workshops","Practical learning courses/workshops"
"1710",904,"Mint Street adventure playground","Adventure playground","Adventure playground"
"1711",921,"Listening books","Audiobook charity","Audiobook charity"
"1712",910,"Lee Paton","Couturier","Couturier"
"1713",900,NA,"residential","residential"
"1714",892,NA,"residential","residential"
"1715",888,NA,"residential","residential"
"1716",400012,"Unknown","Possible taxi garage","Possible taxi garage"
"1717",400011,"Academy Costumes","Making and hire of stage costumes","Making and hire of stage costumes"
"1718",796,NA,"Office block","Offices"
"1719",818,"St Mungos","Charity, training and reintegration homeless","Charity, training and reintegration homeless"
"1720",8180001,"HG Construction","building contractor, site HQ","building contractor, site HQ"
"1721",400010,"G-Taxi","Repair taxis","Repair taxis"
"1722",400009,"Millennium city garage","MOT centre / garage","MOT centre / garage"
"1723",810,NA,"development","development"
"1724",1613,NA,"Residential","residential"
"1725",1714,"Embroidery","Non industrial","Non industrial"
"1726",1674,NA,"Residential","residential"
"1727",1700,"Tescos","Non industrial","Non industrial"
"1728",17270002,"Barbers","Non industrial","Non industrial"
"1729",1553,NA,"Derelict","derelict"
"1730",1547,NA,"Derelict","derelict"
"1731",1557,NA,"Derelict","derelict"
"1732",1556,NA,"Derelict","derelict"
"1733",16720001,"Cooper Stevens Headwear","Hat makers","Hat makers"
"1734",1710,"Jailmake","Fabricators","Fabricators"
"1735",1718,NA,"Derelict","derelict"
"1736",17270001,NA,"Derelict","derelict"
"1737",1034,"Salty Yoga Therapy","Yoga studio & resi above","Yoga studio & resi above"
"1738",1122,"Coco house","Residential","residential"
"1739",2000002,"Launderette and Dry Cleaning","Derelict","derelict"
"1740",677,NA,"Residential","residential"
"1741",676,NA,"Residential","residential"
"1742",648,NA,"Residential","residential"
"1743",650,NA,"Residential","residential"
"1744",663,NA,"Residential","residential"
"1745",2000001,"Kwik Fit","Car servicing","Vehicle repair"
"1746",923,"Manor","Pub/restaurant","Pub/restaurant"
"1747",907,NA,"Residential","residential"
"1748",918,"Safestay","Hotel","Hotel"
"1749",686,NA,"Residential","residential"
"1750",679,NA,"Derelict","derelict"
"1751",932,"Manor Place Depot","Residential","residential"
"1752",930,"Manor Place Depot","Residential","residential"
"1753",935,"Manor Place Depot","Residential","residential"
"1754",942,NA,"Residential","residential"
"1755",784,"SRC Community Nursery","Nursery","Nursery"
"1756",900001,NA,"Vacant","vacant"
"1757",786,"Furnival Press","Vacant","vacant"
"1758",781,"Royal British Legion Club","Social club","Social club"
"1759",899,NA,"Residential","residential"
"1760",894,NA,"Residential","residential"
"1761",911,NA,"Residential","residential"
"1762",936,"Screen printing services","T shirt printing","T shirt printing"
"1763",948,"Lucas Garage","Car servicing","Vehicle repair"
"1764",814,"Maddock Pharmacy","Pharmacy","Pharmacy"
"1765",11990001,NA,"Artists studios","Artist studio"
"1766",1228,"Residential","residential","residential"
"1767",1199,"Cowling&Wilcox","Art supplies and stationery store","Art supplies and stationery store"
"1768",1046,"London Star Auto","Car repair","Vehicle repair"
"1769",2300004,"Van Rooij& Griffiths Ltd","Wood workshop- Furniture","Wood workshop- Furniture"
"1770",13800005,"Queens Road Tyre Centre","Car services","Vehicle repair"
"1771",1962,"Guidetti Fine Foods & Wine","Vacant","vacant"
"1772",1954,"Glassbuild","Vacant","vacant"
"1773",121000011,"ESS Land Management Ltd","Landscape designers","Landscape designers"
"1774",137000012,"Vintique London","2nd hand Furniture retailer","2nd hand Furniture retailer"
"1775",13700005,"Richard Quinn","Screen printer","Screen printer"
"1776",13700003,"Hummingbird","Fine Art","Fine Art"
"1777",1942,NA,"Residential","residential"
"1778",1941,NA,"Residential","residential"
"1779",1939,NA,"Residential","residential"
"1780",1935,NA,"Residential","residential"
"1781",10100002,"Jozef’s Cycles and Repairs","Vacant","vacant"
"1782",13800004,"Albemarble Graphics Ltd","Signs and Large format digital printing","Signs and Large format digital printing"
"1783",137000013,"Michenuels of London Ltd","Furniture Restoration","Furniture Restoration"
"1784",13700001,"Prada Contract Sevices","Domestic and cleaning Services","Domestic and cleaning Services"
"1785",1966,"A&E Elkins Ltd","Maintenance Refurb and Roofing","Maintenance Refurb and Roofing"
"1786",1980,"Clifton Auto Ltd","Vehicle Repairs and Servicing","Vehicle repair"
"1787",1909,NA,"Residential","residential"
"1788",822,"Marketing agencies action group","Industry training/lobby group","Industry training/lobby group"
"1789",839,NA,"Office block","Offices"
"1790",833,NA,"Office block","Offices"
"1791",1983,"Waytune Auto Services","Vehicle services and repairs","Vehicle repair"
"1792",1913,NA,"Residential","residential"
"1793",400004,"JV Bright","Taxi parts / repair","Taxi parts / repair"
"1794",101000030001,"Assembly Point","Studios","Studios"
"1795",10100001,"Pearson Glazing Ltd","Glazing Supplier And Repairs","Glazing Supplier And Repairs"
"1796",1675,"Library","Non Industrial","Non industrial"
"1797",1814,NA,"Residential","residential"
"1798",1818,NA,"Residential","residential"
"1799",1825,NA,"Residential","residential"
"1800",1747,NA,"Residential","residential"
"1801",824,NA,"derelict","derelict"
"1802",846,NA,"Office block","Offices"
"1803",826,NA,"Mixed offices/residential block","Mixed offices/residential block"
"1804",841,NA,"Office building","Office building"
"1805",838,NA,"Office block","Offices"
"1806",827,NA,"Office block","Offices"
"1807",1819,NA,"Residential","residential"
"1808",1753,NA,"Derelict","derelict"
"1809",1748,"Daphanies Fish and Chip Shop","Non industrial","Non industrial"
"1810",1746,"Beauty World","Non Industrial","Non industrial"
"1811",1080,"Turkish Food Centre","Supermarket","Supermarket"
"1812",997,"TR Motor Services","Car repairs","Vehicle repair"
"1813",2600001,"Camberwell Carwash","Car repairs","Vehicle repair"
"1814",849,"Tawny Phillips","Jewellery workshop","Jewellery workshop"
"1815",855,NA,"residential","residential"
"1816",945,"Glory Divine Christian Center and Community Hall","Religious","Religious"
"1817",853,"Peter Logan","Kinetic sculpture","Kinetic sculpture"
"1818",933,"Thumbprint editions","Artist studio, printmaking","Artist studio"
"1819",9260001,"Tony Pestana Builders Ltd","Building construction , refurbishment","Building construction , refurbishment"
"1820",926,"Viserra","Import, distributors of Portuguese food","Import, distributors of Portuguese food"
"1821",889,NA,"residential","residential"
"1822",922,"R M Curtis&Co Ltd.","Import and distribution of fruits, nuts and seeds","Import and distribution of fruits, nuts and seeds"
"1823",850,NA,"residential","residential"
"1824",851,"Fusion DNA Ltd","Interior design practice","Interior design practice"
"1825",854,NA,"Offices","Offices"
"1826",924,"The Kingdom Church","Religious activities","Religious activities"
"1827",909,"Five Star Catering","Food catering","Food catering"
"1828",862,NA,"Office block","Offices"
"1829",2700001,"Gabreal autos","Car repairs","Vehicle repair"
"1830",925,"MA Autos repairs Ltd","Car repairs","Vehicle repair"
"1831",982,"Popson Auto Mechanic","Car repairs","Vehicle repair"
"1832",984,"Selam Auto Repair","Car repair","Vehicle repair"
"1833",989,"Britannia Station LTD","Car repair","Vehicle repair"
"1834",992,"DAF Services","Car repairs","Vehicle repair"
"1835",994,"Shan Autos","Car repairs","Vehicle repair"
"1836",1060,"Camberwell Bus Garage","Bus services, garage and training","Bus services, garage and training"
"1837",797,NA,"Railway substation","Railway substation"
"1838",790,"TfL","TfL car park","TfL car park"
"1839",1086,"Residential","residential","residential"
"1840",1085,"Residential","residential","residential"
"1841",6390001,"PHS group","Environmental Consultancy","Environmental Consultancy"
"1842",300001,"Dyson Art","Specialisedf framing/presentation of fine art","Specialisedf framing/presentation of fine art"
"1843",1243,NA,"Development","development"
"1844",842,NA,"vacant","vacant"
"1845",844,NA,"vacant","vacant"
"1846",859,"Tops Pizza","pizza delivery","pizza delivery"
"1847",864,"Mercato Metropoiltano","storage and delivery area","storage and delivery area"
"1848",861,"University of the West of Scotland","Education","Education"
"1849",857,NA,"vacant","vacant"
"1850",858,"Waterloo Cars","Car hire","Car hire"
"1851",300002,"Blackfriars Staging Ltd","Bespoke stage and scenery construction","Bespoke stage and scenery construction"
"1852",1040001,"EMA catering Ltd","Catering","Catering"
"1853",8560001,"Sustainable workspaces","Co-working office/workshop space","Co-working office/workshop space"
"1854",7760006,"Southbank University","Clerance Centre","Clerance Centre"
"1855",7760005,"Breathe Arts Health Research","Charity NHS","Charity NHS"
"1856",7760004,"HUB","Buisness Aplication Development","Buisness Aplication Development"
"1857",779,NA,"demolished","demolished"
"1858",777,NA,"demolished","demolished"
"1859",789,NA,"demolished","demolished"
"1860",7760003,"Business Solution Centre","Legal Advice Clinic","Legal Advice Clinic"
"1861",7760002,"Capitan Cyan","Printing","Printing"
"1862",856,"25 East","vacant","vacant"
"1863",7760001,"Naked crativity","Graphic design","Graphic design"
"1864",782,NA,"vacant","vacant"
"1865",7850002,"The Factory","Art Gallery","Art Gallery"
"1866",7850001,"Silver Print","vacant","vacant"
"1867",788,"Care Trade","Charity for Londoners with autism","Charity for Londoners with autism"
"1868",792,NA,"demolished","demolished"
"1869",794,NA,"demolished","demolished"
"1870",1810,"Bronzewood Construction Ltd.","Metal fabrication","Metal fabrication"
"1871",817,"Skyline house","office building","office building"
"1872",2100005,NA,"Storage shop (bikes)","Storage shop (bikes)"
"1873",870,NA,"demolished","demolished"
"1874",871,NA,"demolished","demolished"
"1875",805,"Speedy","Plant / tool hire","Plant / tool hire"
"1876",876,NA,"residential","residential"
"1877",809,"Hilti","Sales of products for construction (power tools)","Sales of products for construction (power tools)"
"1878",1800001,"Autocar","Car repair","Vehicle repair"
"1879",778,"Nandos","restaurant","Restaurant"
"1880",1001,NA,"Vacant","vacant"
"1881",875,NA,"demolished","demolished"
"1882",877,NA,"demolished","demolished"
"1883",874,NA,"demolished","demolished"
"1884",868,"Mercato Metropolitano","Food sale, market","Food sale, market"
"1885",866,"Moving Pictures Cinema","cinema","cinema"
"1886",990,"JF Auto Services M.O.T. Alpat Motors","Car servicing","Vehicle repair"
"1887",878,NA,"derelict","derelict"
"1888",766,NA,"residential","residential"
"1889",883,NA,"demolished","demolished"
"1890",893,NA,"demolished","demolished"
"1891",887,NA,"demolished","demolished"
"1892",896,NA,"demolished","demolished"
"1893",898,NA,"demolished","demolished"
"1894",956,NA,"Residential","residential"
"1895",906,"Car Point","Car rental agency","Car rental agency"
"1896",952,NA,"Residential","residential"
"1897",1002,NA,"Residential","residential"
"1898",773,NA,"Railway substation","Railway substation"
"1899",1231,NA,"Storage","Storage"
"1900",1245,NA,"Development","development"
"1901",9460008,NA,"derelict","derelict"
"1902",976,"derelict","derelict","derelict"
"1903",769,"BT Openreach","Telecommunications (network maintenance)","Telecommunications (network maintenance)"
"1904",765,"Post Office","Local post office branch","Local post office branch"
"1905",1797,"Southwark Council","Training facility, workshops and offices","Training facility, workshops and offices"
"1906",1688,"Mighty pound","Retail","Retail"
"1907",1229,"Guardian","Surgical products Laundry","Surgical products Laundry"
"1908",1774,"The Outreach Centre","Community outreach","Community outreach"
"1909",1230,"BizSpace Camberwell Business Centre","Rent workspaces","Rent workspaces"
"1910",1668,NA,"Residential","residential"
"1911",1666,"Me’Lange","Beauty salon","Beauty salon"
"1912",1113,"Nags head","Pub","Pub"
"1913",1702,"D&R Scaffold","Scaffolding supplier","Scaffolding supplier"
"1914",1678,"Ali Baba’s Barber","Barber/Nail salon","Barber/Nail salon"
"1915",1107,"House of Praise Camberwell","Religious activities","Religious activities"
"1916",2300001,"Bloomfields","Car repair","Vehicle repair"
"1917",1074,"Residential","residential","residential"
"1918",1055,"Bubble food","Creative food and Event design","Creative food and Event design"
"1919",1101,"Residential","residential","residential"
"1920",1088,"Walworth Bus Depot","Bus depot","Bus depot"
"1921",713,"Worldwide Beers","Drinks wholesaler","Drinks wholesaler"
"1922",696,NA,"residential","residential"
"1923",674,NA,"residential","residential"
"1924",673,NA,"demolished","demolished"
"1925",726,NA,"demolished","demolished"
"1926",1021,NA,"derelict","derelict"
"1927",1023,NA,"residential","residential"
"1928",1013,NA,"Ice cream van fleet operation","Ice cream van fleet operation"
"1929",2200010,"Barry's MOT","vacant","vacant"
"1930",1035,"VW Enterprise Ltd","Car service, repair, conversion","Vehicle repair"
"1931",1049,NA,"residential","residential"
"1932",1044,"Servimotos","vacant","vacant"
"1933",9640002,NA,"vacant","vacant"
"1934",949,NA,"vacant","vacant"
"1935",9640001,"Borough Studios","office space to rent","office space to rent"
"1936",947,NA,"vacant","vacant"
"1937",941,"Connecting London","telecommunication services","telecommunication services"
"1938",9460007,"Disquise","Software and multimedia company","Software and multimedia company"
"1939",9460006,NA,"vacant","vacant"
"1940",2200006,"Unknown Italian restaurant","Storage for restaurant","Storage for restaurant"
"1941",1009,NA,"residential","residential"
"1942",2200008,NA,"Artist studio/workshop","Artist studio"
